NAMESPACE         NAME                                                       READY   STATUS    RESTARTS        AGE     IP             NODE        NOMINATED NODE   READINESS GATES
apps              gitops-cicd-demo-app-868d67b77d-dj9tx                      1/1     Running   2 (6h2m ago)    2d15h   10.42.2.85     p2-node-3   <none>           <none>
argocd            argocd-application-controller-0                            1/1     Running   10 (6h2m ago)   15d     10.42.1.204    p2-node-2   <none>           <none>
argocd            argocd-applicationset-controller-99fcd6596-f5w98           1/1     Running   8 (6h2m ago)    14d     10.42.0.227    p2-node-1   <none>           <none>
argocd            argocd-dex-server-99ff57675-h97j6                          1/1     Running   13 (6h2m ago)   15d     10.42.1.183    p2-node-2   <none>           <none>
argocd            argocd-notifications-controller-8596549fb6-xc7k6           1/1     Running   10 (6h2m ago)   15d     10.42.2.203    p2-node-3   <none>           <none>
argocd            argocd-redis-6f6867546c-dnnd8                              1/1     Running   10 (6h2m ago)   15d     10.42.1.166    p2-node-2   <none>           <none>
argocd            argocd-repo-server-59444f4bbb-7crjn                        1/1     Running   10 (6h2m ago)   15d     10.42.2.212    p2-node-3   <none>           <none>
argocd            argocd-server-765575f778-4qvvp                             1/1     Running   9 (6h2m ago)    15d     10.42.0.249    p2-node-1   <none>           <none>
cert-manager      cert-manager-658cd654d-9qf45                               1/1     Running   9 (6h2m ago)    14d     10.42.0.6      p2-node-1   <none>           <none>
cert-manager      cert-manager-cainjector-54d844df76-xglj7                   1/1     Running   9 (6h2m ago)    14d     10.42.1.209    p2-node-2   <none>           <none>
cert-manager      cert-manager-webhook-5548dcfb4d-f694x                      1/1     Running   9 (6h2m ago)    14d     10.42.2.58     p2-node-3   <none>           <none>
ingress-nginx     ingress-nginx-controller-2fxh6                             1/1     Running   9 (6h2m ago)    15d     10.42.1.54     p2-node-2   <none>           <none>
ingress-nginx     ingress-nginx-controller-tsltb                             1/1     Running   8 (6h2m ago)    15d     10.42.0.10     p2-node-1   <none>           <none>
ingress-nginx     ingress-nginx-controller-xjbwv                             1/1     Running   9 (6h2m ago)    15d     10.42.2.185    p2-node-3   <none>           <none>
kube-system       cilium-envoy-6jz95                                         1/1     Running   9 (6h2m ago)    15d     192.168.0.11   p2-node-1   <none>           <none>
kube-system       cilium-envoy-qpr7d                                         1/1     Running   10 (6h2m ago)   15d     192.168.0.12   p2-node-2   <none>           <none>
kube-system       cilium-envoy-wrx4v                                         1/1     Running   10 (6h2m ago)   15d     192.168.0.13   p2-node-3   <none>           <none>
kube-system       cilium-ltbpb                                               1/1     Running   10 (6h2m ago)   15d     192.168.0.12   p2-node-2   <none>           <none>
kube-system       cilium-mq297                                               1/1     Running   10 (6h2m ago)   15d     192.168.0.13   p2-node-3   <none>           <none>
