NAME                            SYNC     HEALTH    REVISION
p2-argocd-crds                  Synced   Healthy   2a286113b8c3f2084d66cb320f2f74ea2e741a3d
p2-cert-manager                 Synced   Healthy   e1c3e5c60d99b0dae3e35df3ffeaa6379e25d8b7
p2-grafana-app-dashboards       Synced   Healthy   2a286113b8c3f2084d66cb320f2f74ea2e741a3d
p2-ingress-nginx                Synced   Healthy   e1c3e5c60d99b0dae3e35df3ffeaa6379e25d8b7
p2-kube-prometheus-stack        Synced   Healthy   e1c3e5c60d99b0dae3e35df3ffeaa6379e25d8b7
p2-kyverno                      Synced   Healthy   e1c3e5c60d99b0dae3e35df3ffeaa6379e25d8b7
p2-longhorn                     Synced   Healthy   2a286113b8c3f2084d66cb320f2f74ea2e741a3d
p2-metallb                      Synced   Healthy   e1c3e5c60d99b0dae3e35df3ffeaa6379e25d8b7
p2-platform-namespaces          Synced   Healthy   e1c3e5c60d99b0dae3e35df3ffeaa6379e25d8b7
p2-portfolio-gitops-cicd-demo   Synced   Healthy   13978172a1f257831233a6c76744ea115dbe48af
p2-root-apps                    Synced   Healthy   2a286113b8c3f2084d66cb320f2f74ea2e741a3d
