NAMESPACE       NAME                                                READY   STATUS    RESTARTS         AGE    IP             NODE        NOMINATED NODE   READINESS GATES
apps            ingress-smoke-nginx-776df7496c-4gwjc                1/1     Running   0                44m    10.42.2.6      p2-node-3   <none>           <none>
apps            ingress-smoke-nginx-776df7496c-6ljgs                1/1     Running   0                44m    10.42.0.200    p2-node-1   <none>           <none>
apps            ingress-smoke-nginx-776df7496c-r5gwb                1/1     Running   0                44m    10.42.1.239    p2-node-2   <none>           <none>
argocd          argocd-application-controller-0                     1/1     Running   1 (5h41m ago)    13h    10.42.1.171    p2-node-2   <none>           <none>
argocd          argocd-applicationset-controller-68fd97ccb6-vn442   0/1     Error     77 (7m23s ago)   13h    10.42.2.44     p2-node-3   <none>           <none>
argocd          argocd-dex-server-99ff57675-h97j6                   1/1     Running   4 (5h41m ago)    13h    10.42.1.222    p2-node-2   <none>           <none>
argocd          argocd-notifications-controller-8596549fb6-xc7k6    1/1     Running   1 (5h41m ago)    13h    10.42.2.1      p2-node-3   <none>           <none>
argocd          argocd-redis-6f6867546c-dnnd8                       1/1     Running   1 (5h41m ago)    13h    10.42.1.203    p2-node-2   <none>           <none>
argocd          argocd-repo-server-59444f4bbb-7crjn                 1/1     Running   1 (5h41m ago)    13h    10.42.2.209    p2-node-3   <none>           <none>
argocd          argocd-server-765575f778-4qvvp                      1/1     Running   1 (5h40m ago)    13h    10.42.0.93     p2-node-1   <none>           <none>
ingress-nginx   ingress-nginx-controller-2fxh6                      1/1     Running   0                4h2m   10.42.1.96     p2-node-2   <none>           <none>
ingress-nginx   ingress-nginx-controller-tsltb                      1/1     Running   0                4h2m   10.42.0.72     p2-node-1   <none>           <none>
ingress-nginx   ingress-nginx-controller-xjbwv                      1/1     Running   0                4h2m   10.42.2.147    p2-node-3   <none>           <none>
kube-system     cilium-envoy-6jz95                                  1/1     Running   1 (5h40m ago)    13h    192.168.0.11   p2-node-1   <none>           <none>
kube-system     cilium-envoy-qpr7d                                  1/1     Running   1 (5h41m ago)    13h    192.168.0.12   p2-node-2   <none>           <none>
kube-system     cilium-envoy-wrx4v                                  1/1     Running   1 (5h41m ago)    13h    192.168.0.13   p2-node-3   <none>           <none>
kube-system     cilium-ltbpb                                        1/1     Running   1 (5h41m ago)    13h    192.168.0.12   p2-node-2   <none>           <none>
kube-system     cilium-mq297                                        1/1     Running   1 (5h41m ago)    13h    192.168.0.13   p2-node-3   <none>           <none>
kube-system     cilium-operator-86f7579767-fdzhd                    1/1     Running   1 (5h40m ago)    13h    192.168.0.11   p2-node-1   <none>           <none>
kube-system     cilium-rqd5b                                        1/1     Running   1 (5h40m ago)    13h    192.168.0.11   p2-node-1   <none>           <none>
kube-system     coredns-5f5694d56b-9msxp                            1/1     Running   1 (5h40m ago)    13h    10.42.0.243    p2-node-1   <none>           <none>
kube-system     local-path-provisioner-58d557dc48-b7r5p             1/1     Running   1 (5h40m ago)    13h    10.42.0.37     p2-node-1   <none>           <none>
kube-system     metrics-server-7c86f97b8d-gdtn2                     1/1     Running   1 (5h40m ago)    13h    10.42.0.6      p2-node-1   <none>           <none>
