NAMESPACE    NAME                                                              AGE
monitoring   kube-prometheus-stack-alertmanager.rules                          52m
monitoring   kube-prometheus-stack-config-reloaders                            52m
monitoring   kube-prometheus-stack-general.rules                               52m
monitoring   kube-prometheus-stack-k8s.rules.container-cpu-usage-seconds-tot   52m
monitoring   kube-prometheus-stack-k8s.rules.container-memory-cache            52m
monitoring   kube-prometheus-stack-k8s.rules.container-memory-rss              52m
monitoring   kube-prometheus-stack-k8s.rules.container-memory-swap             52m
monitoring   kube-prometheus-stack-k8s.rules.container-memory-working-set-by   52m
monitoring   kube-prometheus-stack-k8s.rules.container-resource                52m
monitoring   kube-prometheus-stack-k8s.rules.pod-owner                         52m
monitoring   kube-prometheus-stack-kube-apiserver-availability.rules           52m
monitoring   kube-prometheus-stack-kube-apiserver-burnrate.rules               52m
monitoring   kube-prometheus-stack-kube-apiserver-histogram.rules              52m
monitoring   kube-prometheus-stack-kube-apiserver-slos                         52m
monitoring   kube-prometheus-stack-kube-prometheus-general.rules               52m
monitoring   kube-prometheus-stack-kube-prometheus-node-recording.rules        52m
monitoring   kube-prometheus-stack-kube-state-metrics                          52m
monitoring   kube-prometheus-stack-kubelet.rules                               52m
monitoring   kube-prometheus-stack-kubernetes-apps                             52m
monitoring   kube-prometheus-stack-kubernetes-resources                        52m
monitoring   kube-prometheus-stack-kubernetes-storage                          52m
monitoring   kube-prometheus-stack-kubernetes-system                           52m
monitoring   kube-prometheus-stack-kubernetes-system-apiserver                 52m
monitoring   kube-prometheus-stack-kubernetes-system-kubelet                   52m
monitoring   kube-prometheus-stack-node-exporter                               52m
monitoring   kube-prometheus-stack-node-exporter.rules                         52m
monitoring   kube-prometheus-stack-node-network                                52m
monitoring   kube-prometheus-stack-node.rules                                  52m
monitoring   kube-prometheus-stack-prometheus                                  52m
monitoring   kube-prometheus-stack-prometheus-operator                         52m
