NAMESPACE    NAME                                                              AGE
monitoring   kube-prometheus-stack-alertmanager.rules                          3d
monitoring   kube-prometheus-stack-config-reloaders                            3d
monitoring   kube-prometheus-stack-general.rules                               3d
monitoring   kube-prometheus-stack-k8s.rules.container-cpu-usage-seconds-tot   3d
monitoring   kube-prometheus-stack-k8s.rules.container-memory-cache            3d
monitoring   kube-prometheus-stack-k8s.rules.container-memory-rss              3d
monitoring   kube-prometheus-stack-k8s.rules.container-memory-swap             3d
monitoring   kube-prometheus-stack-k8s.rules.container-memory-working-set-by   3d
monitoring   kube-prometheus-stack-k8s.rules.container-resource                3d
monitoring   kube-prometheus-stack-k8s.rules.pod-owner                         3d
monitoring   kube-prometheus-stack-kube-apiserver-availability.rules           3d
monitoring   kube-prometheus-stack-kube-apiserver-burnrate.rules               3d
monitoring   kube-prometheus-stack-kube-apiserver-histogram.rules              3d
monitoring   kube-prometheus-stack-kube-apiserver-slos                         3d
monitoring   kube-prometheus-stack-kube-prometheus-general.rules               3d
monitoring   kube-prometheus-stack-kube-prometheus-node-recording.rules        3d
monitoring   kube-prometheus-stack-kube-state-metrics                          3d
monitoring   kube-prometheus-stack-kubelet.rules                               3d
monitoring   kube-prometheus-stack-kubernetes-apps                             3d
monitoring   kube-prometheus-stack-kubernetes-resources                        3d
monitoring   kube-prometheus-stack-kubernetes-storage                          3d
monitoring   kube-prometheus-stack-kubernetes-system                           3d
monitoring   kube-prometheus-stack-kubernetes-system-apiserver                 3d
monitoring   kube-prometheus-stack-kubernetes-system-kubelet                   3d
monitoring   kube-prometheus-stack-node-exporter                               3d
monitoring   kube-prometheus-stack-node-exporter.rules                         3d
monitoring   kube-prometheus-stack-node-network                                3d
monitoring   kube-prometheus-stack-node.rules                                  3d
monitoring   kube-prometheus-stack-prometheus                                  3d
monitoring   kube-prometheus-stack-prometheus-operator                         3d
