NAME                            SYNC     HEALTH    REVISION
p2-argocd-crds                  Synced   Healthy   8b7e511de19946b7f7584bdeebf5bee33a2d9a65
p2-cert-manager                 Synced   Healthy   8b7e511de19946b7f7584bdeebf5bee33a2d9a65
p2-ingress-nginx                Synced   Healthy   8b7e511de19946b7f7584bdeebf5bee33a2d9a65
p2-kube-prometheus-stack        Synced   Healthy   8b7e511de19946b7f7584bdeebf5bee33a2d9a65
p2-kyverno                      Synced   Healthy   8b7e511de19946b7f7584bdeebf5bee33a2d9a65
p2-longhorn                     Synced   Healthy   8b7e511de19946b7f7584bdeebf5bee33a2d9a65
p2-metallb                      Synced   Healthy   8b7e511de19946b7f7584bdeebf5bee33a2d9a65
p2-platform-namespaces          Synced   Healthy   8b7e511de19946b7f7584bdeebf5bee33a2d9a65
p2-portfolio-gitops-cicd-demo   Synced   Healthy   c03c618bbd8d44e8078aac258a8c85d24d9fa78e
p2-root-apps                    Synced   Healthy   8b7e511de19946b7f7584bdeebf5bee33a2d9a65
