NAME                            SYNC     HEALTH    REVISION
p2-argocd-crds                  Synced   Healthy   3278920377b7aac75636caf5596d8d5ea7879712
p2-cert-manager                 Synced   Healthy   3278920377b7aac75636caf5596d8d5ea7879712
p2-ingress-nginx                Synced   Healthy   3278920377b7aac75636caf5596d8d5ea7879712
p2-kube-prometheus-stack        Synced   Healthy   3278920377b7aac75636caf5596d8d5ea7879712
p2-kyverno                      Synced   Healthy   3278920377b7aac75636caf5596d8d5ea7879712
p2-longhorn                     Synced   Healthy   3278920377b7aac75636caf5596d8d5ea7879712
p2-metallb                      Synced   Healthy   3278920377b7aac75636caf5596d8d5ea7879712
p2-platform-namespaces          Synced   Healthy   3278920377b7aac75636caf5596d8d5ea7879712
p2-portfolio-gitops-cicd-demo   Synced   Healthy   6001e953378b21cd4316f7aab6346ee146a540b8
p2-root-apps                    Synced   Healthy   3278920377b7aac75636caf5596d8d5ea7879712
