NAME                            SYNC     HEALTH    REVISION
p2-argocd-crds                  Synced   Healthy   118840d099cbf889a3d878a14ce5085ac06d5621
p2-cert-manager                 Synced   Healthy   118840d099cbf889a3d878a14ce5085ac06d5621
p2-ingress-nginx                Synced   Healthy   118840d099cbf889a3d878a14ce5085ac06d5621
p2-kube-prometheus-stack        Synced   Healthy   118840d099cbf889a3d878a14ce5085ac06d5621
p2-kyverno                      Synced   Healthy   118840d099cbf889a3d878a14ce5085ac06d5621
p2-longhorn                     Synced   Healthy   118840d099cbf889a3d878a14ce5085ac06d5621
p2-metallb                      Synced   Healthy   118840d099cbf889a3d878a14ce5085ac06d5621
p2-platform-namespaces          Synced   Healthy   118840d099cbf889a3d878a14ce5085ac06d5621
p2-portfolio-gitops-cicd-demo   Synced   Healthy   61a97134e5bdac7cfbb11d93f3c19d08d4e225f4
p2-root-apps                    Synced   Healthy   118840d099cbf889a3d878a14ce5085ac06d5621
