NAME                            SYNC     HEALTH    REVISION
p2-argocd-crds                  Synced   Healthy   a42fb271099796d5c659d5ee4cb55a701f97942c
p2-cert-manager                 Synced   Healthy   c20ef81cb1a3220a016fd5a99a8f8663440ae954
p2-grafana-app-dashboards       Synced   Healthy   c20ef81cb1a3220a016fd5a99a8f8663440ae954
p2-ingress-nginx                Synced   Healthy   a42fb271099796d5c659d5ee4cb55a701f97942c
p2-kube-prometheus-stack        Synced   Healthy   a42fb271099796d5c659d5ee4cb55a701f97942c
p2-kyverno                      Synced   Healthy   c20ef81cb1a3220a016fd5a99a8f8663440ae954
p2-longhorn                     Synced   Healthy   a42fb271099796d5c659d5ee4cb55a701f97942c
p2-metallb                      Synced   Healthy   c20ef81cb1a3220a016fd5a99a8f8663440ae954
p2-platform-namespaces          Synced   Healthy   c20ef81cb1a3220a016fd5a99a8f8663440ae954
p2-portfolio-gitops-cicd-demo   Synced   Healthy   13978172a1f257831233a6c76744ea115dbe48af
p2-root-apps                    Synced   Healthy   c20ef81cb1a3220a016fd5a99a8f8663440ae954
